Service,Pricing,Features,Description
HEADSHOT,$15.00,,Bust-Up Drawing of whatever you request
HALFBODY,$25.00,,Waist-Up Drawing of whatever you request
FULLBODY,$35.00,,Head to Feet Drawing of whatever you request
REFERENCE SHEET,$50.00,50.00 - 100.00,"Head to Feet Drawing of whatever you request with Back View
Price can increase if extra drawings requried (i.e facial emotions I will INCLUDE 1 DRAWING OF CHARACTER BUSTUP)"
FULL ILLUSTRATION,$150.00,,"Full Creative Freedom regardless of Specifics, theyre included with price. I.e huge dynamic piece with an epic background"
